"","agentNames","capabilities","spread"
"76","weka.RandomSubSpace_REPTree(4)","0.49124649859944","0.174113563733488"
"77","weka.RandomSubSpace_REPTree(4)","0.499579831932773","0.18364453069687"
"78","weka.LogitBoost_DecisionStump(3)","0.365406162464986","0.251119432712472"
"79","weka.HoeffdingTree(3)","0.56624649859944","0.210563272247068"
"80","weka.DecisionStump(4)","0.354411764705882","0.40902990881373"
"81","weka.BFTree(3)","0.474579831932773","0.181877170781581"
"82","weka.LibLINEAR(1)","0.765406162464986","0.246446828979082"
"83","weka.RandomForest(5)","0.54124649859944","0.169383833986693"
"84","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"85","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"86","weka.RandomSubSpace_REPTree(4)","0.49124649859944","0.174113563733488"
"87","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"88","weka.J48graft(1)","0.526540616246499","0.19659943536586"
"89","weka.BayesNet_K2(6)","0.51624649859944","0.200320263942526"
"90","weka.LibSVM(2)","0.725","0.229582955232599"
"91","weka.Bagging_REPTree(8)","0.54124649859944","0.169383833986693"
"92","weka.RandomForest(5)","0.54124649859944","0.169383833986693"
"93","weka.NBTree(3)","0.525","0.112731243820573"
"94","weka.Bagging_REPTree(8)","0.54124649859944","0.169383833986693"
"95","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"96","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"97","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"98","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"99","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"100","weka.BayesNet_K2(6)","0.51624649859944","0.200320263942526"
"101","weka.LibSVM(2)","0.725","0.229582955232599"
"102","weka.LADTree(4)","0.54124649859944","0.169383833986693"
"103","weka.FT(1)","0.708333333333333","0.251523137879776"
"104","weka.RandomForest(5)","0.54124649859944","0.169383833986693"
"105","weka.NBTree(3)","0.525","0.112731243820573"
"106","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"107","weka.BayesNet_K2(6)","0.51624649859944","0.200320263942526"
"108","weka.LADTree(4)","0.54124649859944","0.169383833986693"
"109","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"110","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"111","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"112","weka.FilteredClassifier_Discretize_J48(4)","0.482913165266107","0.19174687378987"
"113","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"114","weka.BayesNet_K2(6)","0.51624649859944","0.200320263942526"
"115","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"116","weka.BayesNet_K2(6)","0.51624649859944","0.200320263942526"
"117","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"118","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"119","weka.BayesNet_K2(6)","0.51624649859944","0.200320263942526"
"120","weka.LibSVM(2)","0.725","0.229582955232599"
"121","weka.RandomForest(5)","0.54124649859944","0.169383833986693"
"122","weka.NBTree(3)","0.525","0.112731243820573"
"123","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"124","weka.Bagging_REPTree(8)","0.54124649859944","0.169383833986693"
"125","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"126","weka.A1DE(4)","0.46624649859944","0.198123340386607"
"127","weka.BayesNet_K2(6)","0.51624649859944","0.200320263942526"
"128","weka.LibSVM(2)","0.725","0.229582955232599"
"129","weka.LibSVM(2)","0.725","0.229582955232599"
"130","weka.LMT(3)","0.691666666666667","0.270673029481862"
"131","weka.LADTree(4)","0.54124649859944","0.169383833986693"
"132","weka.FilteredClassifier_Discretize_J48(4)","0.482913165266107","0.19174687378987"
"133","weka.Dagging_DecisionStump(3)","0.457913165266106","0.123642718635162"
"134","weka.Decorate(2)","0.512675070028011","0.217656510597288"
"135","weka.END_ND_J48(3)","0.528501400560224","0.210175318636287"
"136","weka.MultiBoostAB_DecisionStump(3)","0.48249299719888","0.192729046189406"
"137","weka.MultiBoostAB_DecisionStump(3)","0.551960784313726","0.233660000130552"
"138","weka.MultiBoostAB_DecisionStump(3)","0.526960784313726","0.19554207103169"
"139","weka.MultiBoostAB_DecisionStump(3)","0.526960784313726","0.19554207103169"
"140","weka.MultiBoostAB_DecisionStump(3)","0.526960784313726","0.19554207103169"
"141","weka.RotationForest_PrincipalComponents_J48(14)","0.491666666666667","0.173004495766889"
"142","weka.RotationForest_PrincipalComponents_J48(14)","0.491666666666667","0.173004495766889"
"143","weka.RotationForest_PrincipalComponents_J48(14)","0.558333333333333","0.152525043481026"
"144","weka.RotationForest_PrincipalComponents_J48(14)","0.491666666666667","0.173004495766889"
"145","weka.RotationForest_PrincipalComponents_J48(14)","0.541666666666667","0.168118675015267"
"146","weka.RandomForest(5)","0.54124649859944","0.169383833986693"
