"name","value","Game","target"
"A3C LSTM hs",24622.2,"Beam Rider",7456
"A3C LSTM hs",862.2,"Berzerk",2630.4
"A3C LSTM hs",41.8,"Bowling",154.8
"A3C LSTM hs",37.3,"Boxing",4.3
"A3C LSTM hs",766.8,"Breakout",31.8
"A3C LSTM hs",1997,"Centipede",11963
"A3C LSTM hs",10150,"Chopper Command",9882
"A3C LSTM hs",138518,"Crazy Climber",35411
"A3C LSTM hs",115201.9,"Demon Attack",3401
"A3C LSTM hs",0.1,"Double Dunk",-15.5
"A3C LSTM hs",-82.5,"Enduro",309.6
"A3C LSTM hs",22.6,"Fishing Derby",5.5
"A3C LSTM hs",0.1,"Freeway",29.6
"A3C LSTM hs",197.6,"Frostbite",4355
"A3C LSTM hs",17106.8,"Gopher",2321
"A3C LSTM hs",320,"Gravitar",2672
"A3C LSTM hs",28889.5,"HERO",25763
"A3C LSTM hs",-1.7,"Ice Hockey",0.9
"A3C LSTM hs",613,"James Bond",406.7
"A3C LSTM hs",125,"Kangaroo",3035
"A3C LSTM hs",5911.4,"Krull",2395
"A3C LSTM hs",40835,"Kung-Fu Master",22736
"A3C LSTM hs",41,"Montezuma's Revenge",4367
"A3C LSTM hs",850.7,"Ms. Pacman",15693
"A3C LSTM hs",12093.7,"Name This Game",4076
"A3C LSTM hs",10.7,"Pong",9.3
"A3C LSTM hs",421.1,"Private Eye",69571
"A3C LSTM hs",21307.5,"Q*Bert",13455
"A3C LSTM hs",6591.9,"River Raid",13513
"A3C LSTM hs",73949,"Road Runner",7845
"A3C LSTM hs",2.6,"Robotank",11.9
"A3C LSTM hs",1326.1,"Seaquest",20182
"A3C LSTM hs",23846,"Space Invaders",1652
"A3C LSTM hs",164766,"Star Gunner",10250
"A3C LSTM hs",-6.4,"Tennis",-8.9
"A3C LSTM hs",27202,"Time Pilot",5925
"A3C LSTM hs",144.2,"Tutankham",167.6
"A3C LSTM hs",105728.7,"Up and Down",9082
"A3C LSTM hs",25,"Venture",1188
"A3C LSTM hs",470310.5,"Video Pinball",17298
"A3C LSTM hs",18082,"Wizard of Wor",4757
"A3C LSTM hs",23519,"Zaxxon",9173
"A3C LSTM hs",74786.7,"Phoenix",2665.5
"A3C LSTM hs",-135.7,"Pitfall!",22736.3
"A3C LSTM hs",-14863.8,"Skiing",13455
"A3C LSTM hs",1936.4,"Solaris",17118
"A3C LSTM hs",5615.5,"Yars Revenge",5650
"A3C LSTM hs",233021.5,"Defender",18688.9
"A3C LSTM hs",-8.3,"Surround",6.5
"Best linear",939.2,"Alien",6875
"Best linear",103.4,"Amidar",1676
"Best linear",628,"Assault",1496
"Best linear",987.3,"Asterix",8503
"Best linear",907.3,"Asteroids",13157
"Best linear",62687,"Atlantis",29028
"Best linear",190.8,"Bank Heist",734.4
"Best linear",15820,"Battle Zone",37800
"Best linear",929.4,"Beam Rider",7456
"Best linear",43.9,"Bowling",154.8
"Best linear",44,"Boxing",4.3
"Best linear",5.2,"Breakout",31.8
"Best linear",8803,"Centipede",11963
"Best linear",1582,"Chopper Command",9882
"Best linear",23411,"Crazy Climber",35411
"Best linear",520.5,"Demon Attack",3401
"Best linear",-13.1,"Double Dunk",-15.5
"Best linear",129.1,"Enduro",309.6
"Best linear",-89.5,"Fishing Derby",5.5
"Best linear",19.1,"Freeway",29.6
"Best linear",216.9,"Frostbite",4355
"Best linear",1288,"Gopher",2321
"Best linear",387.7,"Gravitar",2672
"Best linear",6459,"HERO",25763
"Best linear",-9.5,"Ice Hockey",0.9
"Best linear",202.8,"James Bond",406.7
"Best linear",1622,"Kangaroo",3035
"Best linear",3372,"Krull",2395
"Best linear",19544,"Kung-Fu Master",22736
"Best linear",10.7,"Montezuma's Revenge",4367
"Best linear",1692,"Ms. Pacman",15693
"Best linear",2500,"Name This Game",4076
"Best linear",-19,"Pong",9.3
"Best linear",684.3,"Private Eye",69571
"Best linear",613.5,"Q*Bert",13455
"Best linear",1904,"River Raid",13513
"Best linear",67.7,"Road Runner",7845
"Best linear",28.7,"Robotank",11.9
"Best linear",664.8,"Seaquest",20182
