"name","Alien","Amidar","Assault","Asterix","Asteroids","Atlantis","Bank Heist","Battle Zone","Beam Rider","Berzerk","Bowling","Boxing","Breakout","Centipede","Chopper Command","Crazy Climber","Defender","Demon Attack","Double Dunk","Enduro","Fishing Derby","Freeway","Frostbite","Gopher","Gravitar","HERO","Ice Hockey","James Bond","Kangaroo","Krull","Kung-Fu Master","Montezuma's Revenge","Ms. Pacman","Name This Game","Phoenix","Pitfall!","Pong","Private Eye","Q*Bert","River Raid","Road Runner","Robotank","Seaquest","Skiing","Solaris","Space Invaders","Star Gunner","Surround","Tennis","Time Pilot","Tutankham","Up and Down","Venture","Video Pinball","Wizard of Wor","Yars Revenge","Zaxxon"
"DQN best",NA,NA,NA,NA,NA,NA,NA,NA,5184,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,4500,NA,NA,NA,1740,NA,NA,1075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DQN hs",634,178.4,3489.3,3170.5,1458.7,292491,312.7,23750,9743.2,493.4,56.5,70.3,354.5,3973.9,5017,98128,15917.5,12550.7,-6,626.7,-1.6,26.9,496.1,8190.4,298,14992.9,-1.6,697.5,4496,6206,20882,47,1092.3,6738.8,7484.8,-113.2,18,207.9,9271.5,4748.5,35215,58.7,4216.7,-12142.1,1295.4,1293.8,52970,-6,11.1,4786,45.6,8038.5,136,154414.1,1609,4577.5,4412
"DQN noop",1620,978,4280.4,4359,1364.5,279987,455,29900,8627.5,585.6,50.4,88,385.5,4657.7,6126,110763,23633,12149.4,-6.6,729,-4.9,30.8,797.4,8777.4,473,20437.8,-1.9,768.5,7259,8422.3,26059,0,3085.6,8207.8,8485.2,-286.1,19.5,146.7,13117.3,7377.6,39544,63.9,5860.6,-13062.3,3482.8,1692.3,54282,-5.6,12.2,4870,68.1,9989.9,163,196760.4,2704,18098.9,5363
"Duel hs",1486.5,172.7,3994.8,15840,2035.4,445360,1129.3,31320,14591.3,910.6,65.7,77.3,411.6,4881,3784,124566,33996,56322.8,-0.8,2077.4,-4.1,0.2,2332.4,20051.4,297,15207.9,-1.3,835.5,10334,8051.6,24288,22,2250.6,11185.1,20410.5,-46.9,18.8,292.6,14175.8,16569.4,58549,62,37361.6,-11928,1768.4,5993.1,90804,4,4.4,6601,48,24759.2,200,110976.2,7054,25976.5,10164
"Duel noop",4461.4,2354.5,4621,28188,2837.7,382572,1611.9,37150,12164,1472.6,65.5,99.4,345.3,7561.4,11215,143570,42214,60813.3,0.1,2258.2,46.4,0,4672.8,15718.4,588,20818.2,0.5,1312.5,14854,11451.9,34294,0,6283.5,11971.1,23092.2,0,21,103,19220.3,21162.6,69524,65.3,50254.2,-8857.4,2250.8,6427.3,89238,4.4,5.1,11666,211.4,44939.6,497,98209.5,7855,49622.1,12944
"ES FF (1 hour) noop",994,112,1673.9,1440,1562,1267410,225,16600,744,686,30,49.8,9.5,7783.9,3710,26430,NA,1166.5,0.2,95,-49,31,370,582,805,NA,-4.1,NA,11200,8647.2,NA,0,NA,4503,4041,0,21,100,147.5,5009,16590,11.9,1390,-15442.5,2090,678.5,1470,NA,-4.5,4970,130.3,67974,760,22834.8,3480,16401.7,6380
"Gorila",813.5,189.2,1195.8,3324.7,933.6,629166.5,399.4,19938,3822.1,NA,54,74.2,313,6296.9,3191.8,65451,NA,14880.1,-11.3,71,4.6,10.2,426.6,4373,538.4,8963.4,-1.7,444,1431,6363.1,20620,84,1263,9238.5,NA,NA,16.7,2598.6,7089.8,5310.3,43079.8,61.8,10145.9,NA,NA,1183.3,14919.2,NA,-0.7,8267.8,118.5,8747.7,523.4,112093.4,10431,NA,6159.4
"human.hs",6371.3,1540.4,628.9,7536,36517.3,26575,644.5,33030,14961,2237.5,146.5,9.6,27.9,10321.9,8930,32667,14296,3442.8,-14.4,740.2,5.1,25.6,4202.8,2311,3116,25839.4,0.5,368.5,2739,2109.1,20786.8,4182,15375,6796,6686.2,5998.9,15.5,64169.1,12085,14382.2,6878,8.9,40425.8,-3686.6,11032.6,1464.9,9528,5.4,-6.7,5650,138.3,9896.1,1039,15641.1,4556,47135.2,8443
"human.noop",7127.7,1719.5,742,8503.3,47388.7,29028.1,753.1,37187.5,16926.5,2630.4,160.7,12.1,30.5,12017,7387.8,35829.4,18688.9,1971,-16.4,860.5,-38.7,29.6,4334.7,2412.5,3351.4,30826.4,0.9,302.8,3035,2665.5,22736.3,4753.3,6951.6,8049,7242.6,6463.7,14.6,69571.3,13455,17118,7845,11.9,42054.7,-4336.9,12326.7,1668.7,10250,6.5,-8.3,5229.2,167.6,11693.2,1187.5,17667.9,4756.5,54576.9,9173.3
"MP-EB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,507,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,15805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
