name,Alien,Amidar,Assault,Asterix,Asteroids,Atlantis,Bank Heist,Battle Zone,Beam Rider,Bowling,Boxing,Breakout,Centipede,Chopper Command,Crazy Climber,Demon Attack,Double Dunk,Enduro,Fishing Derby,Freeway,Frostbite,Gopher,Gravitar,Ice Hockey,Kangaroo,Krull,Montezuma's Revenge,Name This Game,Pong,Private Eye,Q*Bert,River Raid,Road Runner,Robotank,Seaquest,Space Invaders,Star Gunner,Tennis,Time Pilot,Tutankham,Up and Down,Venture,Video Pinball,Wizard of Wor,Zaxxon
RAINBOW noop,9491.70,5131.20,14198.50,428200.30,2712.80,826659.50,1358.00,62010.00,16850.20,30.00,99.60,417.50,8167.30,16654.00,168788.50,111185.20,-0.30,2125.90,31.30,34.00,9590.50,70354.60,1419.30,1.10,14637.50,8741.50,384.00,13136.00,20.90,4234.00,33817.50,22920.80,62041.00,61.40,15898.90,18789.00,127029.00,0.00,12926.00,241.00,125754.60,5.50,533936.50,17862.50,22209.50
REACTOR 500 noop,12689.10,1015.80,8323.30,205914.00,3726.10,302831.00,1259.70,64070.00,11033.40,81.00,99.40,514.80,3422.00,107779.00,236422.00,115154.00,23.00,2224.20,30.40,31.50,7932.20,89851.00,2041.80,10.70,11266.50,9896.00,2643.50,9543.80,20.60,15188.80,21509.20,17380.70,111310.00,70.40,20994.10,10153.90,79521.50,23.60,18841.50,275.40,70790.40,1653.50,496101.00,19530.50,27582.50
REACTOR ND noop,4199.40,1546.80,17543.80,16121.00,4467.40,968179.50,1236.80,98235.00,8811.80,59.30,99.70,509.50,7267.20,19901.50,173274.00,122782.50,23.00,2211.30,33.10,22.30,7136.70,36279.10,1804.80,15.70,13349.00,10237.80,0.00,12636.50,20.70,15198.00,21222.50,16957.30,66790.50,71.80,5071.60,2387.10,48942.00,23.40,18871.50,263.20,194989.50,0.00,261720.20,18484.00,16525.00
REACTOR noop,6482.10,833.00,11013.50,36238.50,2780.40,308258.00,988.70,61220.00,8566.50,75.40,99.40,518.40,3402.80,37568.00,194347.00,100189.00,11.40,2230.10,23.20,31.40,8042.10,69135.10,1073.80,3.40,10484.50,9930.80,2643.50,9907.20,20.70,15177.10,22956.50,16608.30,71168.00,68.50,8425.80,2448.60,70038.00,23.30,19401.00,272.60,64354.20,1597.50,469366.00,13170.50,25215.50
SARSA,103.20,183.60,537.00,1332.00,89.00,852.90,67.40,16.20,1743.00,36.40,9.80,6.10,4647.00,16.90,149.80,0.00,-16.00,159.40,-85.10,19.70,180.90,2368.00,429.00,-3.20,8.80,3341.00,259.00,2247.00,-17.40,86.00,960.30,2650.00,89.10,12.40,675.50,267.90,9.40,0.00,24.90,98.20,2449.00,0.60,19761.00,36.90,21.40
random noop,227.80,5.80,222.40,210.00,719.10,12850.00,14.20,2360.00,363.90,123.70,0.10,1.70,2090.90,811.00,10780.50,152.10,-18.60,0.00,-91.70,0.00,65.20,257.60,173.00,-11.20,52.00,1598.00,0.00,2292.30,-20.70,24.90,163.90,1338.50,11.50,2.20,68.40,148.00,664.00,-23.80,3568.00,11.40,533.40,0.00,16256.90,563.50,32.50
APE-X,40804.90,8659.20,24559.40,313305.00,155495.10,944497.50,1716.40,98895.00,63305.20,57196.70,100.00,800.90,12974.00,721851.00,320426.00,133086.40,12.80,2177.40,44.40,33.70,9328.60,120500.90,1598.50,33.00,1416.00,11741.40,2500.00,25783.30,20.90,49.80,302391.30,63864.40,222234.50,73.80,392952.30,54681.00,434342.50,23.90,87085.00,272.60,401884.30,1773.50,546197.40,46204.00,42285.50
R2D2,229496.90,29321.40,108197.00,999153.30,357867.70,1620764.00,24235.90,751880.00,188257.40,53318.70,98.50,837.70,599140.30,986652.00,366690.70,140002.30,23.70,2372.70,85.80,32.50,315456.40,124776.30,15680.70,79.30,14130.70,218448.10,2061.30,58182.70,21.00,5322.70,408850.00,45632.10,599246.70,100.40,999996.70,43223.40,717344.00,-0.10,445377.30,395.30,589226.90,1970.70,999383.20,144362.70,224910.70
"IMPALA (deep,multi-task)",2344.60,136.82,2116.32,2609.00,2011.05,460430.50,55.15,7705.00,698.36,647.80,96.63,35.67,4916.84,5036.00,115384.00,10095.20,-1.92,971.28,35.27,21.41,2744.15,913.50,282.50,-13.55,8240.50,10807.80,0.00,5719.30,8.58,0.00,10717.38,2850.15,24435.50,9.94,844.60,199.65,1855.50,-8.12,3747.50,105.22,82155.30,1.00,20125.14,2106.00,6497.00
IMPALA (shallow),1536.05,497.62,12086.86,29692.50,3508.10,773355.50,1200.35,13015.00,8219.92,888.30,96.30,640.43,5528.13,5012.00,136211.50,107264.73,-0.35,0.00,32.08,0.00,269.65,1002.40,211.50,-5.25,47.00,9247.60,0.00,6049.55,20.40,92.42,18901.25,17401.90,37505.00,2.30,1716.90,1726.28,69139.00,-1.89,6617.50,267.82,273058.10,0.00,228642.52,4203.00,1148.50
IMPALA (deep),15962.10,1554.79,19148.47,300732.00,108590.05,849967.50,1223.15,20885.00,32463.47,1852.70,99.96,787.34,11049.75,28255.00,136950.00,132826.98,-0.33,0.00,44.85,0.00,317.75,66782.30,359.50,3.48,1632.00,8147.40,0.00,21537.20,20.98,98.50,351200.12,29608.05,57121.00,12.96,1753.20,43595.78,200625.00,0.55,48481.50,292.11,332546.75,0.00,572898.27,9157.50,32935.50
